id,question,option1,option2,option3,correct,explanation,difficulty,generated
194,"Qual è il sinonimo di 'alto'?","Elevato","Basso","Medio",0,"'Elevato' è un sinonimo di 'alto'.",A2,GPT4
195,"Qual è la forma corretta del congiuntivo presente del verbo 'finire' per 'loro'?","finiscano","finiscono","finiate",0,"La forma corretta è 'finiscano'.",B2,GPT4
196,"Qual è il participio passato del verbo 'spendere'?","speso","spenduto","spendiuto",0,"La forma corretta è 'speso'.",B1,GPT4
197,"Qual è il significato di 'rimandare'?","Posticipare","Anticipare","Ignorare",0,"'Rimandare' significa 'posticipare o rinviare'.",B2,GPT4
198,"Qual è il sinonimo di 'felice'?","Triste","Contento","Arrabbiato",1,"'Contento' è un sinonimo di 'felice'.",A2,GPT4
199,"Qual è la forma corretta del congiuntivo presente del verbo 'leggere' per 'loro'?","leggano","leggono","leggiate",0,"La forma corretta è 'leggano'.",B2,GPT4
200,"Qual è il participio passato del verbo 'vivere'?","vissuto","vivito","viviuto",0,"La forma corretta è 'vissuto'.",B1,GPT4
201,"Qual è il significato di 'correggere'?","Sbagliare","Migliorare","Revisionare",2,"'Correggere' significa 'revisionare e migliorare un errore'.",B2,GPT4
202,"Qual è il sinonimo di 'difficile'?","Facile","Complicato","Semplice",1,"'Complicato' è un sinonimo di 'difficile'.",A2,GPT4
203,"Qual è la forma corretta del congiuntivo presente del verbo 'scrivere' per 'loro'?","scrivano","scrivono","scriviate",0,"La forma corretta è 'scrivano'.",B2,GPT4
204,"Qual è il participio passato del verbo 'risolvere'?","risolto","risolvuto","risoluto",0,"La forma corretta è 'risolto'.",B1,GPT4
205,"Qual è il significato di 'esaminare'?","Ignorare","Analizzare","Rifiutare",1,"'Esaminare' significa 'analizzare o studiare con attenzione'.",B2,GPT4
206,"Qual è il sinonimo di 'veloce'?","Rapido","Lento","Graduale",0,"'Rapido' è un sinonimo di 'veloce'.",A2,GPT4
207,"Qual è la forma corretta del congiuntivo presente del verbo 'partire' per 'loro'?","partano","partono","partiate",0,"La forma corretta è 'partano'.",B2,GPT4
208,"Qual è il participio passato del verbo 'mettere'?","messo","mettuto","mettiuto",0,"La forma corretta è 'messo'.",B1,GPT4
209,"Qual è il significato di 'eliminare'?","Aggiungere","Rimuovere","Conservare",1,"'Eliminare' significa 'rimuovere qualcosa'.",B2,GPT4
210,"Qual è il sinonimo di 'timido'?","Estroverso","Rilassato","Introverso",2,"'Introverso' è un sinonimo di 'timido'.",A2,GPT4
211,"Qual è la forma corretta del congiuntivo presente del verbo 'costruire' per 'loro'?","costruiscano","costruiscono","costruiate",0,"La forma corretta è 'costruiscano'.",B2,GPT4
212,"Qual è il participio passato del verbo 'scegliere'?","scelto","scegliuto","scegliato",0,"La forma corretta è 'scelto'.",B1,GPT4
213,"Qual è il significato di 'comunicare'?","Nascondere","Condividere","Confondere",1,"'Comunicare' significa 'condividere informazioni con qualcuno'.",B2,GPT4
214,"Qual è il sinonimo di 'basso'?","Elevato","Piccolo","Grande",1,"'Piccolo' è un sinonimo di 'basso'.",A2,GPT4
215,"Qual è la forma corretta del congiuntivo presente del verbo 'sapere' per 'loro'?","sappiano","sappiano","sapete",0,"La forma corretta è 'sappiano'.",B2,GPT4
216,"Qual è il participio passato del verbo 'esprimere'?","espresso","esprimuto","esprimiuto",0,"La forma corretta è 'espresso'.",B1,GPT4
217,"Qual è il significato di 'provare'?","Tentare","Rifiutare","Ignorare",0,"'Provare' significa 'tentare o fare un tentativo'.",B2,GPT4
218,"Qual è il sinonimo di 'fragile'?","Robusto","Debole","Duro",1,"'Debole' è un sinonimo di 'fragile'.",A2,GPT4
219,"Qual è la forma corretta del congiuntivo presente del verbo 'pensare' per 'loro'?","pensino","pensano","pensiate",0,"La forma corretta è 'pensino'.",B2,GPT4
220,"Qual è il participio passato del verbo 'offrire'?","offerto","offrito","offriuto",0,"La forma corretta è 'offerto'.",B1,GPT4
221,"Qual è il significato di 'distinguere'?","Confondere","Identificare","Unire",1,"'Distinguere' significa 'identificare le differenze tra cose o persone'.",B2,GPT4
222,"Qual è il sinonimo di 'facile'?","Complicato","Semplice","Difficile",1,"'Semplice' è un sinonimo di 'facile'.",A2,GPT4
223,"Qual è la forma corretta del congiuntivo presente del verbo 'credere' per 'loro'?","credano","credono","crediate",0,"La forma corretta è 'credano'.",B2,GPT4
224,"Qual è il participio passato del verbo 'aprire'?","aperto","aprito","apriuto",0,"La forma corretta è 'aperto'.",B1,GPT4
225,"Qual è il significato di 'stimolare'?","Inibire","Promuovere","Evitare",1,"'Stimolare' significa 'promuovere o incoraggiare qualcosa'.",B2,GPT4
226,"Qual è il sinonimo di 'grande'?","Piccolo","Enorme","Minuscolo",1,"'Enorme' è un sinonimo di 'grande'.",A2,GPT4
227,"Qual è la forma corretta del congiuntivo presente del verbo 'finire' per 'loro'?","finiscano","finiscono","finiate",0,"La forma corretta è 'finiscano'.",B2,GPT4
228,"Qual è il participio passato del verbo 'perdere'?","perso","perduto","perdiuto",0,"La forma corretta è 'perso'.",B1,GPT4
229,"Qual è il significato di 'decidere'?","Indecidere","Scartare","Stabilire",2,"'Decidere' significa 'stabilire o determinare qualcosa'.",B2,GPT4
230,"Qual è il sinonimo di 'nuovo'?","Vecchio","Recento","Antico",1,"'Recento' è un sinonimo di 'nuovo'.",A2,GPT4
231,"Qual è la forma corretta del congiuntivo presente del verbo 'sperare' per 'loro'?","sperino","sperano","speriate",0,"La forma corretta è 'sperino'.",B2,GPT4
232,"Qual è il participio passato del verbo 'correre'?","corso","corrito","corrito",0,"La forma corretta è 'corso'.",B1,GPT4
233,"Qual è il significato di 'scoprire'?","Nascondere","Rivelare","Ignorare",1,"'Scoprire' significa 'rivelare o trovare qualcosa di nascosto'.",B2,GPT4
234,"Qual è il sinonimo di 'intelligente'?","Stupido","Saggio","Inetto",1,"'Saggio' è un sinonimo di 'intelligente'.",A2,GPT4
235,"Qual è la forma corretta del congiuntivo presente del verbo 'chiudere' per 'loro'?","chiudano","chiudono","chiudiate",0,"La forma corretta è 'chiudano'.",B2,GPT4
236,"Qual è il participio passato del verbo 'vendere'?","venduto","vendato","vendito",0,"La forma corretta è 'venduto'.",B1,GPT4
237,"Qual è il significato di 'concordare'?","Discutere","Disapprovare","Accordarsi",2,"'Concordare' significa 'accordarsi o essere d'accordo su qualcosa'.",B2,GPT4
238,"Qual è il sinonimo di 'rumoroso'?","Silenzioso","Calmo","Fragoroso",2,"'Fragoroso' è un sinonimo di 'rumoroso'.",A2,GPT4
239,"Qual è la forma corretta del congiuntivo presente del verbo 'vedere' per 'loro'?","vedano","vedono","vediate",0,"La forma corretta è 'vedano'.",B2,GPT4
240,"Qual è il participio passato del verbo 'dipingere'?","dipinto","dipinguto","dipinto",0,"La forma corretta è 'dipinto'.",B1,GPT4
241,"Qual è il significato di 'riparare'?","Rovinare","Aggiustare","Distruggere",1,"'Riparare' significa 'aggiustare o sistemare qualcosa di rotto'.",B2,GPT4
242,"Qual è il sinonimo di 'gentile'?","Sgarbato","Cortese","Scortese",1,"'Cortese' è un sinonimo di 'gentile'.",A2,GPT4
243,"Qual è la forma corretta del congiuntivo presente del verbo 'rimanere' per 'loro'?","rimangano","rimangono","rimaniate",0,"La forma corretta è 'rimangano'.",B2,GPT4
244,"Qual è il participio passato del verbo 'bere'?","bevuto","berrito","beviuto",0,"La forma corretta è 'bevuto'.",B1,GPT4
245,"Qual è il significato di 'annullare'?","Validare","Cancellare","Confermare",1,"'Annullare' significa 'cancellare o rendere nullo qualcosa'.",B2,GPT4
246,"Qual è il sinonimo di 'simile'?","Diverso","Uguale","Analogo",2,"'Analogo' è un sinonimo di 'simile'.",A2,GPT4
247,"Qual è la forma corretta del congiuntivo presente del verbo 'capire' per 'loro'?","capiscano","capiscono","capiate",0,"La forma corretta è 'capiscano'.",B2,GPT4
248,"Qual è il participio passato del verbo 'spiegare'?","spiegato","spieguto","spiegiato",0,"La forma corretta è 'spiegato'.",B1,GPT4
249,"Qual è il significato di 'risolvere'?","Complicare","Aggiustare","Ignorare",1,"'Risolvere' significa 'aggiustare o trovare una soluzione a un problema'.",B2,GPT4
250,"Qual è il sinonimo di 'antico'?","Moderno","Vecchio","Recento",1,"'Vecchio' è un sinonimo di 'antico'.",A2,GPT4
251,"Qual è la forma corretta del congiuntivo presente del verbo 'dovere' per 'loro'?","debbano","devono","dovete",0,"La forma corretta è 'debbano'.",B2,GPT4
252,"Qual è il participio passato del verbo 'decidere'?","deciso","deciduto","decidiato",0,"La forma corretta è 'deciso'.",B1,GPT4
253,"Qual è il significato di 'stimolare'?","Inibire","Promuovere","Rifiutare",1,"'Stimolare' significa 'promuovere o incoraggiare qualcosa'.",B2,GPT4
254,"Qual è il sinonimo di 'forte'?","Debole","Robusto","Fragile",1,"'Robusto' è un sinonimo di 'forte'.",A2,GPT4
255,"Qual è la forma corretta del congiuntivo presente del verbo 'pagare' per 'loro'?","paghino","pagano","pagiate",0,"La forma corretta è 'paghino'.",B2,GPT4
256,"Qual è il participio passato del verbo 'scoprire'?","scoperto","scoprito","scoperto",0,"La forma corretta è 'scoperto'.",B1,GPT4
257,"Qual è il significato di 'considerare'?","Ignorare","Valutare","Sottovalutare",1,"'Considerare' significa 'valutare o prendere in considerazione qualcosa'.",B2,GPT4
258,"Qual è il sinonimo di 'tranquillo'?","Agitato","Calmo","Rumoroso",1,"'Calmo' è un sinonimo di 'tranquillo'.",A2,GPT4
259,"Qual è la forma corretta del congiuntivo presente del verbo 'dimenticare' per 'loro'?","dimentichino","dimenticano","dimenticate",0,"La forma corretta è 'dimentichino'.",B2,GPT4
260,"Qual è il participio passato del verbo 'vedere'?","visto","veduto","vediuto",0,"La forma corretta è 'visto'.",B1,GPT4
261,"Qual è il significato di 'argomentare'?","Negare","Spiegare","Rifiutare",1,"'Argomentare' significa 'spiegare o discutere con ragionamenti'.",B2,GPT4
262,"Qual è il sinonimo di 'complesso'?","Semplice","Facile","Complicato",2,"'Complicato' è un sinonimo di 'complesso'.",B2,GPT4
263,"Qual è la forma corretta del congiuntivo presente del verbo 'agire' per 'loro'?","agiscano","agiscono","agiate",0,"La forma corretta è 'agiscano'.",B2,GPT4
264,"Qual è il participio passato del verbo 'scrivere'?","scritto","scrivuto","scriviuto",0,"La forma corretta è 'scritto'.",B2,GPT4
265,"Qual è il significato di 'differenziare'?","Uniformare","Distinguere","Confondere",1,"'Differenziare' significa 'distinguere o separare cose diverse'.",B2,GPT4
266,"Qual è il sinonimo di 'accettabile'?","Rifiutabile","Adeguato","Impossibile",1,"'Adeguato' è un sinonimo di 'accettabile'.",B2,GPT4
267,"Qual è la forma corretta del congiuntivo presente del verbo 'preferire' per 'loro'?","preferiscano","preferiscono","preferiate",0,"La forma corretta è 'preferiscano'.",B2,GPT4
268,"Qual è il participio passato del verbo 'aggiungere'?","aggiunto","aggiunguto","aggiungiuto",0,"La forma corretta è 'aggiunto'.",B2,GPT4
269,"Qual è il significato di 'implicare'?","Escludere","Coinvolgere","Ignorare",1,"'Implicare' significa 'coinvolgere o comportare qualcosa'.",B2,GPT4
270,"Qual è il sinonimo di 'essenziale'?","Superfluo","Necessario","Inutile",1,"'Necessario' è un sinonimo di 'essenziale'.",B2,GPT4
271,"Qual è la forma corretta del congiuntivo presente del verbo 'ottenere' per 'loro'?","ottengano","ottengono","otteniate",0,"La forma corretta è 'ottengano'.",B2,GPT4
272,"Qual è il participio passato del verbo 'diffondere'?","diffuso","diffonduto","diffusiuto",0,"La forma corretta è 'diffuso'.",B2,GPT4
273,"Qual è il significato di 'influenzare'?","Controllare","Determinare","Ignorare",1,"'Influenzare' significa 'determinare o avere un effetto su qualcosa o qualcuno'.",B2,GPT4
274,"Qual è il sinonimo di 'pessimista'?","Ottimista","Negativo","Positivo",1,"'Negativo' è un sinonimo di 'pessimista'.",B2,GPT4
275,"Qual è la forma corretta del congiuntivo presente del verbo 'concludere' per 'loro'?","concludano","concludono","concludiate",0,"La forma corretta è 'concludano'.",B2,GPT4
276,"Qual è il participio passato del verbo 'promettere'?","promesso","promettuto","promessiuto",0,"La forma corretta è 'promesso'.",B2,GPT4
277,"Qual è il significato di 'suggerire'?","Ordinare","Consigliare","Obbligare",1,"'Suggerire' significa 'consigliare qualcosa a qualcuno'.",B2,GPT4
278,"Qual è il sinonimo di 'brillante'?","Opaco","Luce","Luminoso",2,"'Luminoso' è un sinonimo di 'brillante'.",B2,GPT4
279,"Qual è la forma corretta del congiuntivo presente del verbo 'trascorrere' per 'loro'?","trascorrano","trascorrono","trascorriate",0,"La forma corretta è 'trascorrano'.",B2,GPT4
280,"Qual è il participio passato del verbo 'includere'?","incluso","includuto","inclusiuto",0,"La forma corretta è 'incluso'.",B2,GPT4
281,"Qual è il significato di 'confermare'?","Smentire","Affermare","Dubitare",1,"'Confermare' significa 'affermare la veridicità di qualcosa'.",B2,GPT4
282,"Qual è il sinonimo di 'attento'?","Disattento","Prudente","Distratto",1,"'Prudente' è un sinonimo di 'attento'.",B2,GPT4
283,"Qual è la forma corretta del congiuntivo presente del verbo 'temere' per 'loro'?","temano","temono","temiate",0,"La forma corretta è 'temano'.",B2,GPT4
284,"Qual è il participio passato del verbo 'concedere'?","concesso","conceduto","concessiuto",0,"La forma corretta è 'concesso'.",B2,GPT4
285,"Qual è il significato di 'contraddire'?","Assecondare","Negare","Confermare",1,"'Contraddire' significa 'negare o opporsi a qualcosa'.",B2,GPT4
286,"Qual è il sinonimo di 'difficoltoso'?","Semplice","Facile","Complicato",2,"'Complicato' è un sinonimo di 'difficoltoso'.",B2,GPT4
287,"Qual è la forma corretta del congiuntivo presente del verbo 'descrivere' per 'loro'?","descrivano","descrivono","descriviate",0,"La forma corretta è 'descrivano'.",B2,GPT4
288,"Qual è il participio passato del verbo 'intendere'?","inteso","intenduto","intesiuto",0,"La forma corretta è 'inteso'.",B2,GPT4
289,"Qual è il significato di 'interrompere'?","Continuare","Sospendere","Permettere",1,"'Interrompere' significa 'sospendere temporaneamente un'attività'.",B2,GPT4
290,"Qual è il sinonimo di 'cautelare'?","Prudente","Sconsiderato","Avventato",0,"'Prudente' è un sinonimo di 'cautelare'.",B2,GPT4
291,"Qual è la forma corretta del congiuntivo presente del verbo 'sostenere' per 'loro'?","sostengano","sostengono","sosteniate",0,"La forma corretta è 'sostengano'.",B2,GPT4
292,"Qual è il participio passato del verbo 'insistere'?","insistito","insistuto","insistuto",0,"La forma corretta è 'insistito'.",B2,GPT4
293,"Qual è il significato di 'definire'?","Indefinire","Descrivere","Ignorare",1,"'Definire' significa 'descrivere o stabilire con precisione'.",B2,GPT4
294,"Qual è il sinonimo di 'fluido'?","Rigido","Liquido","Solido",1,"'Liquido' è un sinonimo di 'fluido'.",B2,GPT4
295,"Qual è la forma corretta del congiuntivo presente del verbo 'confondere' per 'loro'?","confondano","confondono","confondiate",0,"La forma corretta è 'confondano'.",B2,GPT4
296,"Qual è il participio passato del verbo 'consentire'?","consentito","consentuto","consentiuto",0,"La forma corretta è 'consentito'.",B2,GPT4
297,"Qual è il significato di 'articolare'?","Confondere","Strutturare","Distorcere",1,"'Articolare' significa 'strutturare o esprimere chiaramente'.",B2,GPT4
298,"Qual è il sinonimo di 'elaborare'?","Trascurare","Ignorare","Sviluppare",2,"'Sviluppare' è un sinonimo di 'elaborare'.",B2,GPT4
299,"Qual è la forma corretta del congiuntivo presente del verbo 'rilevare' per 'loro'?","rilevino","rilevano","rileviate",0,"La forma corretta è 'rilevino'.",B2,GPT4
